Timestamp(ms),Current(uA)
0,2050.400
10,2048.095
20,2041.118
30,2040.859
40,2046.500
50,2053.204
60,2043.328
70,2033.987
80,2039.505
90,2040.941
100,2037.968
110,2047.807
120,2104.769
130,2056.429
140,2042.506
150,2046.823
160,2039.338
170,2053.167
180,2045.554
190,2035.958
200,2036.528
210,2032.045
220,2100.271
230,2065.048
240,2051.718
250,2043.899
260,2042.609
270,2036.708
280,2036.512
290,2037.817
300,2044.355
310,2040.387
320,2037.681
330,2064.516
340,2054.955
350,2042.601
360,2080.010
370,2052.815
380,2046.107
390,2042.988
400,2048.083
410,2045.762
420,2056.043
430,2049.754
440,2039.915
450,2046.558
460,2043.636
470,2037.592
480,2099.448
490,2063.392
500,2048.826
510,2045.540
520,2040.891
530,2038.506
540,2055.537
550,2042.701
560,2037.899
570,2035.996
580,2035.351
590,2038.934
600,2043.166
610,2048.342
620,2042.593
630,2043.888
640,2076.085
650,2054.294
660,2045.849
670,2057.069
680,2049.944
690,2041.661
700,2039.981
710,2047.892
720,2039.978
730,2087.211
740,2057.821
750,2038.039
760,2037.802
770,2033.543
780,2032.258
790,2040.230
800,2033.269
810,2036.671
820,2041.180
830,2034.268
840,2039.672
850,2088.246
860,2052.330
870,2047.290
880,2037.563
890,2036.590
900,2037.696
910,2091.213
920,2063.205
930,2044.447
940,2035.446
950,2032.977
960,2036.563
970,2036.037
980,2045.550
990,2037.905
1000,2029.268
1010,2033.095
1020,2032.946
1030,2036.609
1040,2077.122
1050,2044.983
1060,2044.078
1070,2041.365
1080,2036.263
1090,2035.548
1100,2088.252
1110,2052.665
1120,2038.480
1130,2031.252
1140,2041.187
1150,2038.634
1160,2048.965
1170,2037.238
1180,2038.750
1190,2024.326
1200,2025.321
1210,2025.845
1220,2033.052
1230,3201.307
1240,4251.851
1250,4592.533
1260,4663.769
1270,4767.067
1280,4798.289
1290,4855.078
1300,4862.972
1310,4893.021
1320,4910.576
1330,4940.148
1340,5031.718
1350,4975.215
1360,4839.572
1370,4923.511
1380,5228.639
1390,5151.338
1400,5033.094
1410,5301.621
1420,5146.945
1430,4956.405
1440,4811.393
1450,4800.697
1460,4737.101
1470,4765.546
1480,4766.941
1490,4771.161
1500,4746.967
1510,4812.299
1520,4761.671
1530,4830.257
1540,4806.563
1550,4829.336
1560,4791.404
1570,4754.836
1580,4815.093
1590,4754.753
1600,4801.212
1610,4717.047
1620,4785.154
1630,4736.070
1640,4739.823
1650,4718.986
1660,4785.156
1670,4742.028
1680,4790.278
1690,4751.497
1700,4749.279
1710,4726.445
1720,4795.971
1730,4764.673
1740,4718.801
1750,4786.731
1760,4822.821
1770,4743.365
1780,4764.742
1790,4775.209
1800,4807.824
1810,4798.990
1820,4745.555
1830,4763.482
1840,4720.725
1850,4776.766
1860,4755.755
1870,4770.922
1880,4755.355
1890,4749.691
1900,4727.391
1910,4791.181
1920,4767.174
1930,4800.209
1940,4743.535
1950,4788.792
1960,4780.449
1970,4745.514
1980,4751.578
1990,4750.846
2000,4735.944
2010,4720.334
2020,4740.900
2030,4704.587
2040,4763.927
2050,4747.322
2060,4812.732
2070,4726.400
2080,4795.117
2090,4756.743
2100,4789.597
2110,4765.243
2120,4731.757
2130,4726.653
2140,4702.891
2150,4783.736
2160,4745.169
2170,4785.359
2180,4744.123
2190,4748.030
2200,4720.765
