Timestamp(ms),Current(uA),D0-D7
7312,18219.787,00000000
7313,17872.609,00000000
7314,15366.165,00000000
7315,13421.539,00000000
7316,12737.674,00000000
7317,12477.821,00000000
7318,12546.190,00000000
7319,13220.420,00000000
7320,12648.517,00000000
7321,12450.702,00000000
7322,12429.484,00000000
7323,12492.399,00000000
7324,12499.904,00000000
7325,12499.052,00000000
7326,12476.720,00000000
7327,12470.990,00000000
7328,12446.008,00000000
7329,12439.529,00000000
7330,12426.469,00000000
7331,12406.865,00000000
7332,12392.232,00000000
7333,12420.844,00000000
7334,12422.848,00000000
7335,12407.630,00000000
7336,12410.677,00000000
7337,12418.851,00000000
7338,12436.915,00000000
7339,12413.462,00000000
7340,12370.589,00000000
7341,12352.966,00000000
7342,12368.499,00000000
7343,12326.317,00000000
7344,12323.440,00000000
7345,12306.756,00000000
7346,12293.757,00000000
7347,12313.145,00000000
7348,12301.047,00000000
7349,12870.022,00000000
7350,12529.303,00000000
7351,12822.852,00000000
7352,12544.732,00000000
7353,12704.255,00000000
7354,12874.366,00000000
7355,12593.174,00000000
7356,12956.583,00000000
7357,12581.020,00000000
7358,12796.077,00000000
7359,12518.846,00000000
7360,12694.281,00000000
7361,12951.151,00000000
7362,12612.439,00000000
7363,12927.780,00000000
7364,12578.438,00000000
7365,12792.331,00000000
7366,12510.842,00000000
7367,12687.775,00000000
7368,13014.358,00000000
7369,12631.527,00000000
7370,13937.986,00000000
7371,14562.959,00000000
7372,15194.747,00000000
7373,15107.123,00000000
7374,16659.307,00000000
7375,22465.816,00000000
7376,24177.090,00000000
7377,19507.229,00000000
7378,18669.969,00000000
7379,23519.086,00000000
7380,24274.863,00000000
7381,19454.049,00000000
7382,18870.160,00000000
7383,23734.881,00000000
7384,24609.145,00000000
7385,19648.613,00000000
7386,18809.770,00000000
7387,23547.430,00000000
7388,24217.420,00000000
7389,19388.393,00000000
7390,18950.031,00000000
7391,23849.539,00000000
7392,24572.020,00000000
7393,19412.613,00000000
7394,18887.896,00000000
7395,23758.783,00000000
7396,24192.299,00000000
7397,19295.055,00000000
7398,18971.814,00000000
7399,23896.938,00000000
7400,24539.408,00000000
7401,19336.496,00000000
7402,18923.777,00000000
7403,23629.695,00000000
7404,24095.771,00000000
7405,19087.938,00000000
7406,18995.752,00000000
7407,23927.264,00000000
7408,24476.158,00000000
7409,19380.402,00000000
7410,18964.904,00000000
7411,23829.404,00000000
7412,24122.189,00000000
7413,19055.055,00000000
7414,19134.328,00000000
7415,23980.859,00000000
7416,24412.020,00000000
7417,19342.799,00000000
7418,19022.789,00000000
7419,23884.031,00000000
7420,24138.527,00000000
7421,19131.061,00000000
7422,19148.295,00000000
7423,24039.777,00000000
7424,24343.701,00000000
7425,19154.135,00000000
7426,19061.361,00000000
7427,23806.486,00000000
7428,24047.348,00000000
7429,19092.916,00000000
7430,19166.316,00000000
7431,24073.168,00000000
7432,24317.768,00000000
7433,18975.627,00000000
7434,19150.508,00000000
7435,23860.234,00000000
7436,24018.770,00000000
7437,18994.809,00000000
7438,19192.129,00000000
7439,24081.699,00000000
7440,24090.014,00000000
7441,19084.453,00000000
7442,19216.635,00000000
7443,24012.891,00000000
7444,24101.547,00000000
7445,18870.859,00000000
7446,19334.018,00000000
7447,24116.654,00000000
7448,24076.576,00000000
7449,19103.482,00000000
7450,19322.939,00000000
7451,24132.949,00000000
7452,24044.189,00000000
7453,18866.033,00000000
7454,19268.109,00000000
7455,24182.572,00000000
7456,24100.670,00000000
7457,18844.340,00000000
7458,19120.070,00000000
7459,24054.697,00000000
7460,23912.051,00000000
7461,18921.383,00000000
7462,19415.898,00000000
7463,24233.061,00000000
7464,24026.828,00000000
7465,18823.996,00000000
7466,19455.428,00000000
7467,24128.457,00000000
7468,23911.086,00000000
7469,18844.422,00000000
7470,19467.129,00000000
7471,24337.828,00000000
7472,23984.197,00000000
7473,18858.096,00000000
7474,19411.154,00000000
7475,24087.943,00000000
7476,23728.973,00000000
7477,18683.854,00000000
7478,19485.436,00000000
7479,24326.031,00000000
7480,23848.730,00000000
7481,18661.738,00000000
7482,19404.320,00000000
7483,24163.285,00000000
7484,23649.938,00000000
7485,18647.518,00000000
7486,19554.561,00000000
7487,24352.297,00000000
7488,23707.088,00000000
7489,18540.645,00000000
7490,19495.172,00000000
7491,24245.244,00000000
7492,23665.543,00000000
7493,18689.352,00000000
7494,19585.000,00000000
7495,24365.063,00000000
7496,23707.025,00000000
7497,18731.750,00000000
7498,19586.920,00000000
7499,24320.859,00000000
7500,23483.166,00000000
7501,18679.268,00000000
7502,19598.252,00000000
7503,24430.455,00000000
7504,23641.480,00000000
7505,18672.053,00000000
7506,19653.303,00000000
7507,24393.484,00000000
7508,23457.512,00000000
7509,18657.602,00000000
7510,19743.006,00000000
7511,24450.025,00000000
7512,23544.148,00000000
7513,18650.920,00000000
7514,19708.422,00000000
7515,24405.438,00000000
7516,23329.371,00000000
7517,18516.932,00000000
7518,19838.137,00000000
7519,24513.047,00000000
7520,23436.869,00000000
7521,18537.992,00000000
7522,19865.658,00000000
7523,24437.289,00000000
7524,23387.465,00000000
7525,18374.107,00000000
7526,19877.807,00000000
7527,24574.920,00000000
7528,23280.178,00000000
7529,18461.367,00000000
7530,19803.104,00000000
7531,24359.908,00000000
7532,23350.855,00000000
7533,18279.471,00000000
7534,19948.785,00000000
7535,24488.957,00000000
7536,23282.219,00000000
7537,18340.785,00000000
7538,19877.926,00000000
7539,24564.492,00000000
7540,23267.553,00000000
7541,18406.982,00000000
7542,19995.461,00000000
7543,24640.393,00000000
