Timestamp(ms),Current(uA),D0-D7
0,16.342,00000000
0.01,16.167,00000000
0.02,16.298,00000000
0.03,16.342,00000000
0.04,16.298,00000000
0.05,16.036,00000000
0.06,16.211,00000000
0.07,16.167,00000000
0.08,16.167,00000000
0.09,16.298,00000000
0.1,16.254,00000000
0.11,16.211,00000000
0.12,16.123,00000000
0.13,16.123,00000000
0.14,15.948,00000000
0.15,16.079,00000000
0.16,16.036,00000000
0.17,15.992,00000000
0.18,16.036,00000000
0.19,15.948,00000000
0.2,15.904,00000000
0.21,15.992,00000000
0.22,16.036,00000000
0.23,15.992,00000000
0.24,15.817,00000000
0.25,15.773,00000000
0.26,15.860,00000000
0.27,15.729,00000000
0.28,15.598,00000000
0.29,15.860,00000000
0.3,15.817,00000000
0.31,15.992,00000000
0.32,15.992,00000000
0.33,15.948,00000000
0.34,15.773,00000000
0.35,15.860,00000000
0.36,15.685,00000000
0.37,15.729,00000000
0.38,15.773,00000000
0.39,15.685,00000000
0.4,15.860,00000000
0.41,16.123,00000000
0.42,16.123,00000000
0.43,16.254,00000000
0.44,16.473,00000000
0.45,16.736,00000000
0.46,16.692,00000000
0.47,16.867,00000000
0.48,31.447,00000000
0.49,40.467,00000000
0.5,41.868,00000000
0.51,41.911,00000000
0.52,41.693,00000000
0.53,41.561,00000000
0.54,41.430,00000000
0.55,41.430,00000000
0.56,41.167,00000000
0.57,41.123,00000000
0.58,41.080,00000000
0.59,41.080,00000000
0.6,40.861,00000000
0.61,41.080,00000000
0.62,40.861,00000000
0.63,40.904,00000000
0.64,40.686,00000000
0.65,40.642,00000000
0.66,40.642,00000000
0.67,40.554,00000000
0.68,40.729,00000000
0.69,40.510,00000000
0.7,40.467,00000000
0.71,40.423,00000000
0.72,40.379,00000000
0.73,40.423,00000000
0.74,40.204,00000000
0.75,40.160,00000000
0.76,40.160,00000000
0.77,39.985,00000000
0.78,40.116,00000000
0.79,39.941,00000000
0.8,40.029,00000000
0.81,39.722,00000000
0.82,39.854,00000000
0.83,39.766,00000000
0.84,39.897,00000000
0.85,39.854,00000000
0.86,39.941,00000000
0.87,39.810,00000000
0.88,39.854,00000000
0.89,39.897,00000000
0.9,39.766,00000000
0.91,39.810,00000000
0.92,39.679,00000000
0.93,39.810,00000000
0.94,39.679,00000000
0.95,39.854,00000000
0.96,39.635,00000000
0.97,39.679,00000000
0.98,39.547,00000000
0.99,39.372,00000000
1,39.328,00000000
1.01,39.372,00000000
1.02,39.547,00000000
1.03,39.372,00000000
1.04,39.460,00000000
1.05,39.416,00000000
1.06,39.503,00000000
1.07,39.503,00000000
1.08,44.933,00000000
1.09,44.933,00000000
1.1,866.075,00000000
1.11,1475.046,00000000
1.12,1906.003,00000000
1.13,3524.888,00000000
1.14,3228.904,00000000
1.15,3002.782,00000000
1.16,2719.798,00000000
1.17,2465.619,00000000
1.18,2252.938,00000000
1.19,2032.724,00000000
1.2,1831.324,00000000
1.21,1704.943,00000000
1.22,2328.120,00000000
1.23,3156.398,00000000
1.24,2989.258,00000000
1.25,2782.498,00000000
1.26,2532.337,00000000
1.27,2350.262,00000000
1.28,2155.877,00000000
1.29,1958.160,00000000
1.3,1809.501,00000000
1.31,1674.506,00000000
1.32,1574.684,00000000
1.33,1475.150,00000000
1.34,1358.670,00000000
1.35,1251.171,00000000
1.36,1118.343,00000000
1.37,998.817,00000000
1.38,892.456,00000000
1.39,845.765,00000000
1.4,811.848,00000000
1.41,773.734,00000000
1.42,701.860,00000000
1.43,634.357,00000000
1.44,583.821,00000000
1.45,571.199,00000000
1.46,545.970,00000000
1.47,529.162,00000000
1.48,529.162,00000000
1.49,597.718,00000000
1.5,509.392,00000000
1.51,436.655,00000000
1.52,101.018,00000000
1.53,97.594,00000000
1.54,92.463,00000000
1.55,89.045,00000000
1.56,84.775,00000000
1.57,83.495,00000000
1.58,77.952,00000000
1.59,76.673,00000000
1.6,73.692,00000000
1.61,70.286,00000000
1.62,67.308,00000000
1.63,66.458,00000000
1.64,63.482,00000000
1.65,61.782,00000000
1.66,60.083,00000000
1.67,58.385,00000000
1.68,56.263,00000000
1.69,56.263,00000000
1.7,54.565,00000000
1.71,53.293,00000000
1.72,51.597,00000000
1.73,50.325,00000000
1.74,50.749,00000000
1.75,49.901,00000000
1.76,48.206,00000000
1.77,47.782,00000000
1.78,46.511,00000000
1.79,47.359,00000000
1.8,45.241,00000000
1.81,46.088,00000000
1.82,44.394,00000000
1.83,46.511,00000000
1.84,45.664,00000000
1.85,44.817,00000000
1.86,43.124,00000000
1.87,43.124,00000000
1.88,39.643,00000000
1.89,34.503,00000000
1.9,30.297,00000000
1.91,10.869,00000000
1.92,10.825,00000000
1.93,10.563,00000000
1.94,10.519,00000000
1.95,10.387,00000000
1.96,10.344,00000000
1.97,10.081,00000000
1.98,9.906,00000000
1.99,9.818,00000000
2,9.774,00000000
2.01,9.687,00000000
2.02,9.643,00000000
2.03,9.468,00000000
2.04,9.337,00000000
2.05,9.468,00000000
2.06,9.249,00000000
2.07,9.205,00000000
2.08,9.030,00000000
2.09,8.943,00000000
2.1,8.943,00000000
2.11,8.767,00000000
2.12,8.811,00000000
2.13,8.724,00000000
2.14,8.680,00000000
2.15,8.592,00000000
2.16,8.592,00000000
2.17,8.505,00000000
2.18,8.461,00000000
2.19,8.198,00000000
2.2,8.330,00000000
2.21,8.198,00000000
2.22,8.023,00000000
2.23,8.023,00000000
2.24,8.067,00000000
2.25,7.892,00000000
2.26,7.936,00000000
2.27,7.892,00000000
2.28,7.760,00000000
2.29,7.936,00000000
2.3,7.673,00000000
2.31,7.848,00000000
2.32,7.760,00000000
2.33,7.760,00000000
2.34,7.848,00000000
2.35,7.760,00000000
2.36,7.848,00000000
2.37,7.760,00000000
2.38,7.979,00000000
2.39,7.804,00000000
2.4,7.717,00000000
2.41,7.979,00000000
2.42,7.848,00000000
2.43,7.848,00000000
2.44,7.936,00000000
2.45,8.067,00000000
2.46,8.242,00000000
2.47,8.155,00000000
2.48,8.023,00000000
2.49,8.155,00000000
2.5,8.242,00000000
2.51,8.155,00000000
2.52,8.198,00000000
2.53,8.330,00000000
2.54,8.373,00000000
2.55,8.505,00000000
2.56,8.636,00000000
2.57,8.592,00000000
2.58,8.636,00000000
2.59,8.592,00000000
2.6,8.592,00000000
2.61,8.505,00000000
2.62,8.505,00000000
2.63,8.461,00000000
2.64,8.505,00000000
2.65,8.636,00000000
2.66,8.680,00000000
2.67,8.767,00000000
2.68,8.855,00000000
2.69,9.074,00000000
2.7,9.162,00000000
2.71,9.380,00000000
2.72,9.424,00000000
2.73,9.599,00000000
2.74,9.556,00000000
2.75,9.687,00000000
2.76,9.556,00000000
2.77,9.599,00000000
2.78,9.643,00000000
2.79,9.599,00000000
2.8,9.731,00000000
2.81,9.862,00000000
2.82,9.906,00000000
2.83,10.081,00000000
2.84,10.256,00000000
2.85,10.300,00000000
2.86,10.344,00000000
2.87,10.431,00000000
2.88,10.387,00000000
2.89,10.387,00000000
2.9,10.563,00000000
2.91,10.782,00000000
2.92,10.913,00000000
2.93,10.957,00000000
2.94,11.000,00000000
2.95,10.869,00000000
2.96,11.088,00000000
2.97,11.000,00000000
2.98,11.176,00000000
2.99,11.219,00000000
3,11.263,00000000
3.01,11.263,00000000
3.02,11.088,00000000
3.03,11.176,00000000
3.04,11.176,00000000
3.05,11.394,00000000
3.06,11.263,00000000
3.07,11.394,00000000
3.08,11.351,00000000
3.09,11.570,00000000
3.1,11.701,00000000
3.11,11.745,00000000
3.12,11.876,00000000
3.13,12.007,00000000
3.14,12.051,00000000
3.15,12.051,00000000
3.16,12.095,00000000
3.17,12.314,00000000
3.18,12.358,00000000
3.19,12.489,00000000
3.2,12.620,00000000
3.21,12.796,00000000
3.22,13.014,00000000
3.23,12.927,00000000
3.24,13.146,00000000
3.25,13.014,00000000
3.26,13.014,00000000
3.27,13.014,00000000
3.28,12.971,00000000
3.29,13.102,00000000
3.3,13.146,00000000
3.31,13.233,00000000
3.32,13.146,00000000
3.33,13.365,00000000
3.34,13.409,00000000
3.35,13.277,00000000
3.36,13.409,00000000
3.37,13.627,00000000
3.38,13.365,00000000
3.39,13.627,00000000
3.4,13.846,00000000
3.41,13.715,00000000
3.42,13.759,00000000
3.43,13.759,00000000
3.44,13.715,00000000
3.45,13.846,00000000
3.46,13.803,00000000
3.47,13.890,00000000
3.48,13.934,00000000
3.49,14.065,00000000
3.5,14.021,00000000
3.51,13.934,00000000
3.52,13.934,00000000
3.53,14.021,00000000
3.54,13.978,00000000
3.55,14.109,00000000
3.56,14.328,00000000
3.57,14.372,00000000
3.58,14.328,00000000
3.59,14.240,00000000
3.6,14.240,00000000
