=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,conv_status,read_status\n"
~"0,703,1,1,2656,-9360,-32528,241,0\n"
~"1,705,3,1,2672,-9248,-32528,49,0\n"
~"2,707,5,1,2528,-9376,-32528,113,0\n"
~"3,709,7,1,2688,-9328,-32528,177,0\n"
~"4,711,9,1,2688,-9312,-32528,241,0\n"
~"5,713,11,1,2672,-9376,-32528,145,0\n"
~"6,715,13,1,2400,-9232,-32528,209,0\n"
~"7,717,15,1,2688,-9216,-32528,17,0\n"
~"8,719,17,1,2576,-9264,-32528,81,0\n"
~"9,721,19,1,2592,-9232,-32528,177,0\n"
~"10,723,21,1,2720,-9232,-32528,241,0\n"
~"11,725,23,1,2688,-9328,-32528,49,0\n"
~"12,727,25,1,2656,-9392,-32528,113,0\n"
~"13,729,27,1,2624,-9312,-32528,209,0\n"
~"14,731,29,1,2448,-9392,-32528,17,0\n"
~"15,733,31,1,2608,-9280,-32528,81,0\n"
~"16,735,33,1,2640,-9168,-32528,145,0\n"
~"17,737,35,1,2672,-9280,-32528,241,0\n"
~"18,739,37,1,2736,-9328,-32528,49,0\n"
~"19,742,40,1,2624,-9328,-32528,145,0\n"
~"20,744,42,1,2816,-9216,-32528,209,0\n"
~"21,746,44,1,2656,-9168,-32528,17,0\n"
~"22,748,46,1,2432,-9248,-32528,81,0\n"
~"23,750,48,1,2688,-9360,-32528,145,0\n"
~"24,752,50,1,2624,-9136,-32528,241,0\n"
~"25,754,52,1,2608,-9168,-32528,81,0\n"
~"26,756,54,1,2784,-9296,-32528,113,0\n"
~"27,758,56,1,2736,-9360,-32528,177,0\n"
~"28,760,58,1,2656,-9216,-32528,241,0\n"
~"29,762,60,1,2400,-9200,-32528,49,0\n"
~"30,764,62,1,2656,-9232,-32528,145,0\n"
~"31,766,64,1,2624,-9232,-32528,17,0\n"
~"32,768,66,1,2672,-9328,-32528,17,0\n"
~"33,770,68,1,2496,-9248,-32528,81,0\n"
~"34,772,70,1,2576,-9216,-32528,145,0\n"
~"35,774,72,1,2656,-9168,-32528,209,0\n"
~"36,776,74,1,2752,-9328,-32528,49,0\n"
~"37,778,76,1,2688,-9040,-32528,81,0\n"
~"38,780,78,1,2736,-9216,-32528,177,0\n"
~"39,782,80,1,2688,-9360,-32528,241,0\n"
~"40,784,82,1,2736,-9264,-32528,49,0\n"
~"41,786,84,1,2672,-9120,-32528,113,0\n"
~"42,788,86,1,2544,-9024,-32528,177,0\n"
~"43,790,88,1,2592,-9216,-32528,241,0\n"
~"44,792,90,1,2720,-9344,-32528,49,0\n"
~"45,794,92,1,2624,-9232,-32528,145,0\n"
~"46,796,94,1,2608,-9376,-32528,209,0\n"
~"47,798,96,1,2624,-9280,-32528,17,0\n"
~"48,800,98,1,2464,-9120,-32528,81,0\n"
~"49,802,100,1,2800,-9264,-32528,145,0\n"
~"50,804,102,1,2704,-9040,-32528,241,0\n"
~"51,806,104,1,2512,-9296,-32528,49,0\n"
~"52,808,106,1,2624,-9136,-32528,113,0\n"
~"53,810,108,1,2784,-9088,-32528,177,0\n"
~"54,812,110,1,2624,-9232,-32528,17,0\n"
~"55,814,112,1,2704,-9184,-32528,81,0\n"
~"56,816,114,1,2720,-9280,-32528,209,0\n"
~"57,818,116,1,2560,-9392,-32528,209,0\n"
~"58,820,118,1,2720,-9328,-32528,17,0\n"
~"59,822,120,1,2688,-9232,-32528,81,0\n"
~"60,824,122,1,2656,-9264,-32528,145,0\n"
~"61,826,124,1,2672,-9232,-32528,241,0\n"
~"62,828,126,1,2656,-9248,-32528,17,0\n"
~"63,830,128,1,2688,-9120,-32528,113,0\n"
~"64,832,130,1,2656,-9280,-32528,209,0\n"
~"65,834,132,1,2592,-9216,-32528,17,0\n"
~"66,836,134,1,2656,-9296,-32528,81,0\n"
~"67,838,136,1,2672,-9168,-32528,145,0\n"
~"68,840,138,1,2672,-9232,-32528,209,0\n"
~"69,843,141,1,2752,-9200,-32528,49,0\n"
~"70,845,143,1,2752,-9248,-32528,113,0\n"
