=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"0,575,1,1,-6976,-11168,-32448,0x0,113,0\n"
~"1,577,3,1,-6752,-11120,-32400,0x0,209,0\n"
~"2,579,5,1,-6880,-10976,-32400,0x0,17,0\n"
~"3,581,7,1,-6896,-11008,-32448,0x0,81,0\n"
~"4,583,9,1,-6816,-11024,-32400,0x0,145,0\n"
~"5,585,11,1,-6896,-11024,-32400,0x0,81,0\n"
~"6,587,13,1,-6912,-11040,-32400,0x0,113,0\n"
~"7,589,15,1,-6944,-11200,-32448,0x0,177,0\n"
~"8,591,17,1,-6768,-11136,-32400,0x0,241,0\n"
~"9,593,19,1,-6928,-11056,-32400,0x0,49,0\n"
~"10,595,21,1,-6816,-11072,-32448,0x0,113,0\n"
~"11,597,23,1,-6784,-11232,-32400,0x0,177,0\n"
~"12,599,25,1,-6976,-10928,-32400,0x0,241,0\n"
~"13,601,27,1,-6832,-11072,-32400,0x0,81,0\n"
~"14,603,29,1,-6752,-10992,-32400,0x0,113,0\n"
~"15,605,31,1,-6976,-11024,-32400,0x0,177,0\n"
~"16,607,33,1,-6912,-11168,-32448,0x0,209,0\n"
~"17,609,35,1,-6848,-11040,-32400,0x0,17,0\n"
~"18,611,37,1,-6960,-10928,-32400,0x0,81,0\n"
~"19,613,39,1,-6880,-11168,-32448,0x0,145,0\n"
~"20,615,41,1,-7008,-11040,-32400,0x0,209,0\n"
~"21,617,43,1,-6880,-10864,-32400,0x0,17,0\n"
~"22,619,45,1,-6944,-11104,-32400,0x0,81,0\n"
~"23,621,47,1,-6864,-11024,-32400,0x0,113,0\n"
~"24,623,49,1,-7056,-10880,-32400,0x0,177,0\n"
~"25,625,51,1,-6816,-11056,-32448,0x0,241,0\n"
~"26,627,53,1,-6864,-11184,-32400,0x0,17,0\n"
~"27,629,55,1,-6944,-10928,-32400,0x0,81,0\n"
~"28,631,57,1,-6944,-11088,-32400,0x0,145,0\n"
~"29,633,59,1,-6960,-11184,-32448,0x0,81,0\n"
~"30,635,61,1,-6960,-11152,-32400,0x0,17,0\n"
~"31,637,63,1,-6864,-11152,-32400,0x0,49,0\n"
~"32,639,65,1,-6928,-10912,-32400,0x0,81,0\n"
~"33,641,67,1,-6992,-10992,-32400,0x0,145,0\n"
~"34,643,69,1,-6752,-10976,-32400,0x0,209,0\n"
~"35,645,71,1,-6928,-10912,-32400,0x0,241,0\n"
~"36,647,73,1,-6960,-10832,-32400,0x0,49,0\n"
~"37,649,75,1,-6896,-11088,-32400,0x0,113,0\n"
~"38,651,77,1,-6816,-11008,-32400,0x0,209,0\n"
~"39,653,79,1,-6896,-10992,-32448,0x0,241,0\n"
~"40,655,81,1,-6656,-10992,-32400,0x0,49,0\n"
~"41,657,83,1,-6880,-11024,-32400,0x0,113,0\n"
~"42,659,85,1,-6880,-11024,-32448,0x0,177,0\n"
~"43,661,87,1,-6832,-11072,-32400,0x0,241,0\n"
~"44,663,89,1,-6784,-11040,-32400,0x0,49,0\n"
~"45,665,91,1,-6848,-10912,-32448,0x0,113,0\n"
~"46,667,93,1,-6896,-11008,-32400,0x0,177,0\n"
~"47,669,95,1,-6896,-10928,-32400,0x0,209,0\n"
~"48,671,97,1,-6944,-10928,-32400,0x0,17,0\n"
~"49,673,99,1,-6784,-11072,-32448,0x0,81,0\n"
~"50,675,101,1,-6928,-11024,-32448,0x0,113,0\n"
~"51,677,103,1,-6800,-10912,-32448,0x0,145,0\n"
~"52,679,105,1,-6960,-11040,-32400,0x0,209,0\n"
~"53,681,107,1,-6880,-11056,-32400,0x0,17,0\n"
~"54,684,110,1,-6848,-10896,-32400,0x0,241,0\n"
~"55,686,112,1,-6752,-11024,-32400,0x0,177,0\n"
~"56,688,114,1,-6896,-10832,-32400,0x0,241,0\n"
~"57,690,116,1,-6864,-10944,-32400,0x0,49,0\n"
~"58,692,118,1,-6912,-10848,-32400,0x0,113,0\n"
~"59,694,120,1,-7040,-11024,-32448,0x0,145,0\n"
~"60,696,122,1,-6944,-11104,-32400,0x0,177,0\n"
~"61,698,124,1,-6896,-11168,-32400,0x0,241,0\n"
~"62,700,126,1,-6800,-10944,-32400,0x0,49,0\n"
~"63,702,128,1,-6864,-11056,-32400,0x0,81,0\n"
~"64,704,130,1,-6976,-11056,-32400,0x0,145,0\n"
~"65,706,132,1,-6880,-10976,-32400,0x0,209,0\n"
~"66,708,134,1,-6928,-11024,-32400,0x0,241,0\n"
~"67,710,136,1,-6880,-11088,-32400,0x0,49,0\n"
~"68,712,138,1,-6832,-10928,-32400,0x0,81,0\n"
~"69,714,140,1,-6976,-11072,-32400,0x0,145,0\n"
~"70,716,142,1,-6768,-10992,-32400,0x0,177,0\n"
~"71,718,144,1,-6944,-10960,-32400,0x0,241,0\n"
~"72,720,146,1,-6912,-11120,-32448,0x0,49,0\n"
~"73,722,148,1,-6880,-10768,-32400,0x0,113,0\n"
~"74,724,150,1,-6816,-10960,-32400,0x0,177,0\n"
~"75,726,152,1,-6784,-11056,-32400,0x0,17,0\n"
~"76,728,154,1,-6848,-11040,-32400,0x0,17,0\n"
~"77,730,156,1,-6800,-11008,-32400,0x0,49,0\n"
~"78,732,158,1,-7008,-10880,-32400,0x0,113,0\n"
~"79,734,160,1,-6944,-11024,-32400,0x0,49,0\n"
~"80,736,162,1,-6944,-10896,-32400,0x0,209,0\n"
~"81,738,164,1,-6880,-10944,-32400,0x0,17,0\n"
~"82,740,166,1,-6912,-11040,-32400,0x0,49,0\n"
~"83,742,168,1,-7024,-11008,-32400,0x0,81,0\n"
~"84,744,170,1,-9296,-7296,-32448,0x0,145,0\n"
~"85,746,172,1,-19920,11296,-32400,0x0,209,0\n"
~"86,748,174,1,-20016,11216,-32400,0x0,17,0\n"
~"87,750,176,1,-14016,-4720,-32400,0x0,81,0\n"
~"88,752,178,1,-14032,-4576,-32448,0x0,145,0\n"
~"89,754,180,1,-13920,-4640,-32400,0x0,209,0\n"
~"90,756,182,1,-13968,-4640,-32400,0x0,17,0\n"
~"91,758,184,1,-14144,-4576,-32448,0x0,81,0\n"
~"92,760,186,1,-13984,-4592,-32400,0x0,145,0\n"
~"93,762,188,1,-14176,-4656,-32448,0x0,177,0\n"
~"94,764,190,1,-13888,-4448,-32400,0x0,241,0\n"
~"95,766,192,1,-13920,-4480,-32448,0x0,49,0\n"
~"96,768,194,1,-14016,-4560,-32400,0x0,81,0\n"
~"97,770,196,1,-11312,-7792,-32400,0x0,145,0\n"
~"98,772,198,1,-9120,-15840,-32400,0x0,209,0\n"
~"99,774,200,1,-27904,-30080,-32400,0x0,241,0\n"
~"100,776,202,1,-27920,-29872,-32400,0x0,81,0\n"
~"101,778,204,1,-12992,-10944,-32400,0x0,113,0\n"
~"102,780,206,1,-12960,-10784,-32400,0x0,177,0\n"
~"103,782,208,1,-12928,-10928,-32400,0x0,241,0\n"
~"104,785,211,1,-12944,-10960,-32400,0x0,241,0\n"
~"105,787,213,1,-12992,-11008,-32448,0x0,177,0\n"
~"106,789,215,1,-12944,-10816,-32400,0x0,241,0\n"
~"107,791,217,1,-12800,-10816,-32400,0x0,17,0\n"
~"108,793,219,1,-12864,-10880,-32400,0x0,81,0\n"
~"109,795,221,1,-12816,-10800,-32400,0x0,145,0\n"
~"110,797,223,1,-13024,-10768,-32400,0x0,177,0\n"
~"111,799,225,1,-12896,-10896,-32400,0x0,241,0\n"
~"112,801,227,1,-12816,-10832,-32400,0x0,81,0\n"
~"113,803,229,1,848,7216,-32400,0x0,81,0\n"
~"114,805,231,1,2608,9168,-32448,0x0,145,0\n"
~"115,807,233,1,992,7024,-32400,0x0,209,0\n"
~"116,809,235,1,-9776,-6848,-32400,0x0,241,0\n"
~"117,811,237,1,-9776,-7008,-32400,0x0,49,0\n"
~"118,813,239,1,-9904,-7056,-32400,0x0,113,0\n"
~"119,815,241,1,-9808,-6816,-32400,0x0,145,0\n"
~"120,817,243,1,-9728,-6832,-32448,0x0,177,0\n"
~"121,819,245,1,-9856,-6976,-32448,0x0,241,0\n"
~"122,821,247,1,-9776,-6928,-32400,0x0,49,0\n"
~"123,823,249,1,-9744,-6912,-32400,0x0,81,0\n"
~"124,825,251,1,-9904,-6848,-32400,0x0,145,0\n"
~"125,827,253,1,-9744,-6848,-32400,0x0,209,0\n"
~"126,829,255,1,-5648,-10032,-32400,0x0,17,0\n"
~"127,831,257,1,7184,-21952,-32400,0x0,49,0\n"
~"128,833,259,1,-10560,-32368,-32448,0x0,113,0\n"
~"129,835,261,1,-14752,-28480,-32400,0x0,49,0\n"
~"130,837,263,1,-12432,-14800,-32400,0x0,209,0\n"
~"131,839,265,1,-12384,-14720,-32400,0x0,241,0\n"
~"132,841,267,1,-12528,-14864,-32400,0x0,49,0\n"
~"133,843,269,1,-12336,-14768,-32400,0x0,113,0\n"
~"134,845,271,1,-12512,-15008,-32448,0x0,145,0\n"
