=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"0,569,1,4,2112,-1216,-32592,0x3,145,0\n"
~"1,571,3,4,2112,-1168,-32592,0x3,209,0\n"
~"2,573,5,4,2016,-1136,-32592,0x3,17,0\n"
~"3,575,7,4,2064,-1216,-32592,0x3,81,0\n"
~"4,577,9,4,2064,-1120,-32592,0x3,177,0\n"
~"5,579,11,4,2016,-1152,-32560,0x3,241,0\n"
~"6,581,13,4,2000,-1184,-32592,0x3,49,0\n"
~"7,583,15,4,2016,-1200,-32592,0x3,81,0\n"
~"8,585,17,4,2048,-1152,-32592,0x3,145,0\n"
~"9,587,19,4,2176,-1136,-32592,0x3,209,0\n"
~"10,589,21,4,2032,-1104,-32592,0x3,17,0\n"
~"11,591,23,4,2080,-1136,-32592,0x3,81,0\n"
~"12,593,25,4,2128,-1104,-32592,0x3,145,0\n"
~"13,595,27,4,2032,-1200,-32560,0x3,209,0\n"
~"14,597,29,4,2032,-1232,-32592,0x3,17,0\n"
~"15,599,31,4,2128,-1008,-32592,0x3,81,0\n"
~"16,601,33,4,2752,336,-32592,0x3,145,0\n"
~"17,603,35,4,3392,1728,-32592,0x3,177,0\n"
~"18,605,37,4,3728,2544,-32592,0x3,241,0\n"
~"19,607,39,4,3792,2640,-32592,0x3,177,0\n"
~"20,609,41,4,3776,2688,-32592,0x3,113,0\n"
~"21,611,43,4,3776,2624,-32592,0x3,177,0\n"
~"22,613,45,4,3776,2640,-32592,0x3,241,0\n"
~"23,615,47,4,3792,2672,-32592,0x3,17,0\n"
~"24,617,49,4,3408,1168,-32592,0x3,81,0\n"
~"25,619,51,4,3584,-2176,-32592,0x3,145,0\n"
~"26,621,53,4,5184,-9280,-32592,0x3,209,0\n"
~"27,623,55,4,6208,-12720,-32592,0x3,17,0\n"
~"28,625,57,4,6256,-12704,-32592,0x3,81,0\n"
~"29,627,59,4,6176,-12640,-32592,0x3,145,0\n"
~"30,629,61,4,6176,-12608,-32560,0x3,177,0\n"
~"31,631,63,4,6176,-12640,-32592,0x3,241,0\n"
~"32,633,65,4,5872,-12816,-32560,0x3,49,0\n"
~"33,635,67,4,-1264,-14000,-32592,0x3,113,0\n"
~"34,637,69,4,-6720,-11440,-32592,0x3,145,0\n"
~"35,639,71,4,-9184,-8096,-32592,0x3,209,0\n"
~"36,641,73,4,-10192,-5376,-32592,0x3,17,0\n"
~"37,643,75,4,-10464,-2544,-32592,0x3,49,0\n"
~"38,645,77,4,-10240,-656,-32592,0x3,113,0\n"
~"39,647,79,4,-9696,1104,-32560,0x3,177,0\n"
