=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"0,579,1,2,-10816,-6640,-32400,0x0,241,0\n"
~"1,581,3,2,-10960,-6368,-32400,0x0,17,0\n"
~"2,583,5,2,-10944,-6400,-32400,0x0,81,0\n"
~"3,585,7,2,-10912,-6448,-32400,0x0,145,0\n"
~"4,587,9,2,-10848,-6528,-32400,0x0,209,0\n"
~"5,589,11,2,-10864,-6448,-32400,0x0,17,0\n"
~"6,591,13,2,-11008,-6512,-32400,0x0,81,0\n"
~"7,593,15,2,-10848,-6560,-32400,0x0,145,0\n"
~"8,595,17,2,-10848,-6592,-32400,0x0,177,0\n"
~"9,597,19,2,-10880,-6512,-32400,0x0,241,0\n"
~"10,599,21,2,-10736,-6624,-32400,0x0,49,0\n"
~"11,601,23,2,-10880,-6656,-32400,0x0,113,0\n"
~"12,603,25,2,-10896,-6464,-32400,0x0,177,0\n"
~"13,605,27,2,-10832,-6528,-32400,0x0,209,0\n"
~"14,607,29,2,-11056,-6560,-32400,0x0,17,0\n"
~"15,609,31,2,-10784,-6560,-32400,0x0,81,0\n"
~"16,611,33,2,-10704,-6512,-32400,0x0,145,0\n"
~"17,613,35,2,-10912,-6544,-32400,0x0,209,0\n"
~"18,615,37,2,-10768,-6720,-32400,0x0,241,0\n"
~"19,617,39,2,-10944,-6576,-32400,0x0,49,0\n"
~"20,619,41,2,-10880,-6496,-32400,0x0,113,0\n"
~"21,621,43,2,-10848,-6432,-32400,0x0,177,0\n"
~"22,623,45,2,-11024,-6464,-32400,0x0,241,0\n"
~"23,625,47,2,-10912,-6496,-32400,0x0,81,0\n"
~"24,627,49,2,-10928,-6336,-32400,0x0,81,0\n"
~"25,629,51,2,-10832,-6624,-32400,0x0,113,0\n"
~"26,631,53,2,-10784,-6480,-32400,0x0,177,0\n"
~"27,633,55,2,-11056,-6672,-32400,0x0,241,0\n"
~"28,635,57,2,-10832,-6416,-32400,0x0,49,0\n"
~"29,637,59,2,-10800,-6512,-32400,0x0,113,0\n"
~"30,639,61,2,-10928,-6480,-32400,0x0,145,0\n"
~"31,641,63,2,-10784,-6400,-32400,0x0,209,0\n"
~"32,643,65,2,-10880,-6592,-32400,0x0,17,0\n"
~"33,645,67,2,-10832,-6640,-32400,0x0,49,0\n"
~"34,647,69,2,-10976,-6608,-32400,0x0,113,0\n"
~"35,649,71,2,-10720,-6400,-32400,0x0,177,0\n"
~"36,651,73,2,-10864,-6528,-32400,0x0,209,0\n"
~"37,653,75,2,-10800,-6544,-32400,0x0,17,0\n"
~"38,655,77,2,-10848,-6448,-32400,0x0,49,0\n"
~"39,657,79,2,-10944,-6480,-32400,0x0,113,0\n"
~"40,659,81,2,-10752,-6480,-32400,0x0,177,0\n"
~"41,661,83,2,-10896,-6464,-32400,0x0,209,0\n"
~"42,663,85,2,-10768,-6480,-32400,0x0,17,0\n"
~"43,665,87,2,-10800,-6512,-32400,0x0,81,0\n"
~"44,667,89,2,-10896,-6480,-32400,0x0,145,0\n"
~"45,669,91,2,-10704,-6496,-32400,0x0,209,0\n"
