=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"0,403,1,3,21072,-19232,-32592,0x1,113,0\n"
~"1,405,3,3,19744,-20592,-32592,0x1,209,0\n"
~"2,407,5,3,18640,-21664,-32592,0x1,49,0\n"
~"3,409,7,3,16512,-23296,-32592,0x1,177,0\n"
~"4,411,9,3,13936,-24800,-32592,0x1,49,0\n"
~"5,413,11,3,7456,-27968,-32560,0x1,81,0\n"
~"6,415,13,3,6336,-28208,-32560,0x1,145,0\n"
~"7,417,15,3,-736,-29200,-32592,0x1,209,0\n"
~"8,419,17,3,-5632,-28896,-32592,0x1,17,0\n"
~"9,421,19,3,-15056,-25184,-32592,0x1,81,0\n"
~"10,423,21,3,-16880,-23472,-32592,0x1,145,0\n"
~"11,425,23,3,-20288,-19424,-32592,0x1,209,0\n"
~"12,427,25,3,-22032,-15536,-32592,0x1,17,0\n"
~"13,429,27,3,-22720,-12992,-32592,0x1,113,0\n"
~"14,431,29,3,-23408,-9200,-32592,0x1,177,0\n"
~"15,433,31,3,-23600,-5424,-32560,0x1,241,0\n"
~"16,435,33,3,-23088,-1264,-32560,0x1,49,0\n"
~"17,438,36,3,-21648,3200,-32560,0x1,241,0\n"
~"18,440,38,3,-18688,8400,-32560,0x1,241,0\n"
~"19,442,40,3,-15040,13312,-32592,0x1,49,0\n"
~"20,444,42,3,-11616,16016,-32560,0x1,145,0\n"
~"21,446,44,3,-7664,18224,-32592,0x1,241,0\n"
~"22,448,46,3,-5408,19248,-32592,0x1,81,0\n"
~"23,450,48,3,-3120,19728,-32560,0x1,145,0\n"
~"24,452,50,3,-1488,20112,-32560,0x1,209,0\n"
~"25,454,52,3,288,20416,-32592,0x1,49,0\n"
~"26,456,54,3,4992,20368,-32560,0x1,81,0\n"
~"27,458,56,3,11360,19216,-32592,0x1,145,0\n"
~"28,460,58,3,15200,17936,-32592,0x1,209,0\n"
~"29,462,60,3,19728,15168,-32560,0x1,17,0\n"
~"30,464,62,3,21200,14000,-32592,0x1,81,0\n"
~"31,466,64,3,23808,10800,-32592,0x1,145,0\n"
~"32,468,66,3,26000,7024,-32592,0x1,209,0\n"
~"33,470,68,3,27600,3136,-32592,0x1,17,0\n"
~"34,472,70,3,27808,-992,-32592,0x1,81,0\n"
~"35,474,72,3,27376,-5296,-32592,0x1,145,0\n"
~"36,476,74,3,26288,-10208,-32592,0x1,241,0\n"
~"37,478,76,3,24224,-15104,-32560,0x1,17,0\n"
~"38,480,78,3,21152,-19248,-32592,0x1,81,0\n"
~"39,482,80,3,18672,-21712,-32560,0x1,145,0\n"
~"40,484,82,3,17920,-22304,-32560,0x1,209,0\n"
~"41,486,84,3,17776,-22400,-32592,0x1,17,0\n"
~"42,488,86,3,14240,-24416,-32592,0x1,145,0\n"
~"43,490,88,3,8400,-27280,-32592,0x1,177,0\n"
~"44,492,90,3,-2224,-29264,-32592,0x1,241,0\n"
~"45,494,92,3,-7968,-28512,-32592,0x1,49,0\n"
~"46,496,94,3,-13936,-25584,-32592,0x1,113,0\n"
~"47,498,96,3,-15648,-24720,-32560,0x1,177,0\n"
~"48,500,98,3,-17120,-23120,-32592,0x1,241,0\n"
~"49,502,100,3,-19968,-19184,-32560,0x1,81,0\n"
~"50,504,102,3,-21952,-15024,-32592,0x1,177,0\n"
~"51,506,104,3,-22944,-11248,-32560,0x1,241,0\n"
~"52,508,106,3,-23328,-5712,-32592,0x1,81,0\n"
~"53,510,108,3,-22496,0,-32560,0x1,177,0\n"
~"54,512,110,3,-21520,2688,-32592,0x1,17,0\n"
~"55,514,112,3,-20864,4320,-32592,0x1,81,0\n"
~"56,516,114,3,-19888,5936,-32592,0x1,145,0\n"
~"57,518,116,3,-18704,8576,-32592,0x1,209,0\n"
~"58,520,118,3,-17632,10352,-32592,0x1,17,0\n"
~"59,522,120,3,-16672,11392,-32592,0x1,81,0\n"
~"60,524,122,3,-15984,12272,-32560,0x1,145,0\n"
~"61,526,124,3,-13552,14320,-32592,0x1,241,0\n"
~"62,528,126,3,-11184,16016,-32560,0x1,17,0\n"
~"63,530,128,3,-7728,17824,-32560,0x1,81,0\n"
~"64,532,130,3,-4512,19264,-32560,0x1,145,0\n"
~"65,534,132,3,-2480,19680,-32560,0x1,209,0\n"
~"66,536,134,3,768,20160,-32560,0x1,17,0\n"
~"67,539,137,3,11920,19008,-32592,0x1,209,0\n"
~"68,541,139,3,20752,14112,-32592,0x1,209,0\n"
~"69,543,141,3,22704,12240,-32592,0x1,17,0\n"
~"70,545,143,3,25792,8256,-32592,0x1,81,0\n"
